x,y,area_roof_solar_m2,PV_Pot,has_pv_2024,BeginningOfOperation_Year,heating_system1,energy_source1,update_date
2523295.2193557248,1147404.6836070006,273.2119275696182,31566.26729564652,False,-99,Chaudière (gén.) pour un bât.,Mazout,2005
2525217.5583621496,1149058.8933795344,464.5013334065583,57434.49832167842,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2022
2523390.6073658243,1147535.4467222341,307.6790026131493,35676.492656674694,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2013
2523376.4386943174,1148060.3463864792,250.64784048914328,30109.48863932783,False,-99,Chaudière (gén.) pour un bât.,Mazout,2007
2523442.8785786554,1147695.32281105,145.78071818962331,17155.86703444639,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523545.180882948,1147480.9687155455,286.6715366248992,27614.90115105532,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523487.0619702837,1147644.4318656132,395.12812530328,51797.97044544511,False,-99,Chaudière à cond. pour un bât.,Gaz,2021
2524420.356958353,1148199.2905577593,192.3331952664975,21369.38548942622,False,-99,Chaudière (gén.) pour un bât.,Mazout,2006
2524318.584760911,1149170.5968811696,226.08459677465655,26564.706282254665,False,-99,Chaudière à cond. pour un bât.,Gaz,2014
2524004.888152021,1147937.061156691,163.4876460647801,19626.734972238173,False,-99,Chaudière (gén.) pour un bât.,Gaz,2022
2524347.924776444,1148143.1359978714,210.4358231949412,22313.946920829883,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524394.961243456,1147993.6433771714,121.4092965105696,14663.106553933772,False,-99,Pompe à chaleur pour un bât.,Eau,2019
2524443.8869645684,1148014.223570553,248.06568102157755,21438.11792437882,False,-99,Chaudière stand. pour un bât.,Mazout,2020
2524475.9669260243,1148087.5597995664,223.6641279467064,25706.36469312245,False,-99,Chaudière à cond. pour un bât.,Gaz,2013
2524123.4583476647,1148139.9436349778,234.60632766547343,27488.079567065182,False,-99,Chaudière stand. pour un bât.,Mazout,2019
2523377.162935978,1147383.2463447135,245.6767849911629,28335.668517762115,False,-99,Central électrique pour un bât.,Electricité,2001
2524221.6742091253,1148689.5780392208,464.7299174986896,58115.71920668718,False,-99,Chaudière à cond. pour un bât.,Gaz,2020
2523915.291606846,1147734.0865643348,156.9916974428591,20106.272984745363,False,-99,Chaudière (gén.) pour un bât.,Mazout,2020
2524119.0310771745,1148189.0977746928,239.3868346001992,27493.645296693387,False,-99,Chaudière stand. pour un bât.,Mazout,2021
2524586.685782415,1148161.7990905866,272.20065288423496,32401.785555557068,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2012
2524881.0160129955,1147979.384606474,592.1008390050027,52235.7083908592,False,-99,Chaudière stand. pour un bât.,Mazout,2018
2524966.5748263155,1148746.2275411116,384.1547767626339,38192.80219722522,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524805.4070093054,1148995.6278162051,137.27758487626485,16691.030017790472,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2523257.4633919117,1147633.8479958668,209.9320331353365,22429.8916566462,True,2018,Pompe à chaleur pour un bât.,Indéterminé,2001
2523422.19683236,1147465.6423367336,368.3738239907959,38071.470415551456,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523303.027002874,1147250.862852696,243.7171611221374,30499.706511426648,False,-99,Chaudière (gén.) pour un bât.,Mazout,2019
2524897.0923344665,1148150.2457260508,67.2541574825003,5798.223031533289,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524580.6576303556,1148098.910090358,266.9793125341258,32161.5882693285,False,-99,Chaudière (gén.) pour un bât.,Mazout,2023
2524609.082423856,1148201.7830952473,130.7531037111106,15898.745388789144,False,-99,Chaudière stand. pour un bât.,Mazout,2020
2525196.529433314,1149126.5816956859,318.199631355194,28499.5085381158,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523252.96699569,1147876.3578264457,196.03947144559208,14666.032764852673,False,-99,Chaudière (gén.) pour plus. bât.,Gaz,2001
2523580.046030672,1147438.6502908198,168.93506461454987,18929.199696755164,True,2018,Pompe à chaleur pour un bât.,Indéterminé,2004
2523649.2501005977,1147455.9506459923,517.6578170418264,66499.86879721537,False,-99,Pompe à chaleur pour un bât.,Sonde géothermique,2017
2524141.983700338,1149189.7273827496,124.62280326893612,16074.934962144223,False,-99,Chaudière à cond. pour un bât.,Gaz,2018
2524277.326424701,1147927.052085149,209.224862325398,23626.24050794133,False,-99,Chaudière (gén.) pour un bât.,Gaz,2012
2524053.5446577454,1149053.5867338714,217.8610749445864,24604.808315116057,True,2015,Central électrique pour un bât.,Electricité,2001
2524678.245096839,1148191.5316434677,206.5266233980639,24139.14267716624,False,-99,Chaudière (gén.) pour plus. bât.,Mazout,2001
2524958.207557975,1148682.373756682,292.5400790832522,31004.40861217185,False,-99,Chaudière stand. pour un bât.,Gaz,2020
2525344.6100350693,1149117.3175823607,448.0233028561247,51151.99591310888,False,-99,Pompe à chaleur pour un bât.,Sonde géothermique,2020
2523758.7497909996,1147641.937725867,387.62670624528,43754.38520034213,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2010
2523636.054497317,1147782.5092967304,367.76113089450337,19159.614719199955,False,-99,Chaudière (gén.) pour un bât.,Mazout,2010
2524400.077405388,1147963.7517367387,131.18174687156622,14066.719481209451,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523624.7675377284,1147993.513922928,230.49275706109864,27563.46326184874,False,-99,Central électrique pour un bât.,Electricité,2017
2523356.856946706,1147300.1454659733,505.000678277365,57045.42875317192,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2001
2524250.6455763616,1148640.9776252154,139.2490292806851,14061.648361140957,False,-99,Electrique direct,Electricité,2001
